time_s,solar_irradiance_kw_per_m2,load_kw,solar_available_kw,solar_device_power_kw,solar_bus_power_kw,solar_converter_loss_kw,solar_curtailment,wind_speed_m_s,wind_curtailment,wind_available_power_kw,wind_shaft_power_kw,wind_device_power_kw,wind_bus_power_kw,wind_platform_moment_nm,wave_power_flux_kw_per_m,wave_curtailment,wave_available_power_kw,wave_device_power_kw,wave_bus_power_kw,hydrokinetic_current_m_s,hydrokinetic_curtailment,hydrokinetic_available_power_kw,hydrokinetic_shaft_power_kw,hydrokinetic_device_power_kw,hydrokinetic_bus_power_kw,hydrokinetic_converter_loss_kw,diesel_power_kw,diesel_shaft_power_kw,diesel_device_power_kw,diesel_bus_power_kw,diesel_converter_loss_kw,diesel_fuel_used_l,diesel_fuel_l,h2_demand_kg_per_h,h2_power_kw,h2_device_power_kw,h2_bus_power_kw,h2_converter_loss_kw,h2_level_kg,desal_demand_m3_per_h,desal_power_kw,desal_device_power_kw,desal_bus_power_kw,desal_converter_loss_kw,desal_level_m3,battery_command_kw,battery_device_power_kw,battery_bus_power_kw,battery_converter_loss_kw,battery_soc,platform_theta_rad,platform_omega_rad_s,platform_alpha_rad_s2,platform_theta_next_rad,platform_omega_next_rad_s,platform_kinematic_residual_rad,platform_dynamic_residual_rad_s,platform_pitch_moment_nm,load_served_fraction,load_bus_power_kw,bus_balance_residual_kw,battery_inventory_residual_kwh,solar_available_margin_kw,solar_converter_rating_margin_kw,wind_available_margin_kw,wind_rating_margin_kw,wind_generator_loss_residual_kw,wind_converter_loss_residual_kw,wave_available_margin_kw,wave_rating_margin_kw,wave_converter_loss_residual_kw,hydrokinetic_available_margin_kw,hydrokinetic_rating_margin_kw,hydrokinetic_generator_loss_residual_kw,hydrokinetic_converter_loss_residual_kw,diesel_fuel_inventory_residual_l,diesel_power_margin_kw,diesel_fuel_available_margin_l,diesel_generator_loss_residual_kw,diesel_converter_loss_residual_kw,h2_inventory_residual_kg,h2_power_margin_kw,h2_converter_loss_residual_kw,desal_inventory_residual_m3,desal_power_margin_kw,desal_converter_loss_residual_kw,battery_power_margin_kw,load_converter_rating_margin_kw
0.0,0.16,1.4,0.32000000000000006,0.32000000000000006,0.30720000000000003,0.012800000000000034,0.0,8.0,0.0,0.2224297825324758,0.2224297825324758,0.03802028607202887,0.03468520282523263,17.342601412616315,1.0,0.42805988118621274,2.0,1.1438802376275745,1.0866862257461958,2.0,1.0,1.805481376799856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.00017342601412616317,0.0,0.01040556084756979,0.0,0.0,17.342601412616315,1.0,-1.4285714285714286,-2.220446049250313e-16,0.0,0.0,9.68,0.0,3.7775702174675243,0.0,0.0,0.8561197623724255,0.8561197623724255,0.0,1.805481376799856,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.571428571428571
60.0,0.14,1.5,0.28,0.28,0.26880000000000004,0.011199999999999988,0.0,8.0,0.0,0.2224297825324758,0.2224297825324758,0.03802028607202887,0.03468520282523263,17.342601412616315,1.0,0.3541436620669859,2.0,1.2917126758660282,1.2271270420727267,2.0,1.0,1.805481376799856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.01040556084756979,0.00017342601412616317,0.6243336508541873,0.02081112169513958,0.0,0.0,17.342601412616315,1.0,-1.530612244897959,2.220446049250313e-16,0.0,0.0,9.72,0.0,3.7775702174675243,0.0,0.0,0.7082873241339718,0.7082873241339718,0.0,1.805481376799856,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.46938775510204
120.0,0.12,1.4,0.19472467644048264,0.19472467644048264,0.1869356893828633,0.007788987057619323,0.0,8.0,0.0,0.130575832650744,0.130575832650744,0.02128124070179941,0.020677572638166705,10.338786319083352,1.0,0.35739043865768483,2.0,1.2852191226846303,1.2209581665503988,2.0,1.0,1.805481376799856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6243336508541873,0.02081112169513958,0.00010338786319083354,1.873000952562562,0.027014393486589593,0.0,0.0,10.338786319083352,1.0,-1.4285714285714286,2.220446049250313e-16,0.0,0.0,9.805275323559517,0.0,3.869424167349256,0.0,0.0,0.7147808773153697,0.7147808773153697,0.0,1.805481376799856,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.571428571428571
