index,owner,name,sense,unit,scale,lower,upper,time_index,scope,model_path,label
1,solar_array,solar_available_limit,geq,kW,1.0,0.0,Inf,1,interval,surrogate,Solar available power cap
2,solar_array,solar_available_limit,geq,kW,1.0,0.0,Inf,2,interval,surrogate,Solar available power cap
3,solar_array,solar_available_limit,geq,kW,1.0,0.0,Inf,3,interval,surrogate,Solar available power cap
4,solar_converter,solar_converter_loss_relation,eq,kW,1.0,0.0,0.0,1,interval,surrogate,Solar converter loss relation
5,solar_converter,solar_converter_loss_relation,eq,kW,1.0,0.0,0.0,2,interval,surrogate,Solar converter loss relation
6,solar_converter,solar_converter_loss_relation,eq,kW,1.0,0.0,0.0,3,interval,surrogate,Solar converter loss relation
7,solar_converter,solar_converter_rating_limit,geq,kW,1.0,0.0,Inf,1,interval,surrogate,Solar converter rating margin
8,solar_converter,solar_converter_rating_limit,geq,kW,1.0,0.0,Inf,2,interval,surrogate,Solar converter rating margin
9,solar_converter,solar_converter_rating_limit,geq,kW,1.0,0.0,Inf,3,interval,surrogate,Solar converter rating margin
10,battery,battery_inventory,eq,kWh,5.0,0.0,0.0,1,interval,surrogate,Battery SOC inventory
11,battery,battery_inventory,eq,kWh,5.0,0.0,0.0,2,interval,surrogate,Battery SOC inventory
12,battery,battery_inventory,eq,kWh,5.0,0.0,0.0,3,interval,surrogate,Battery SOC inventory
13,battery,battery_power_limit,geq,kW,3.0,0.0,Inf,1,interval,surrogate,Battery power margin
14,battery,battery_power_limit,geq,kW,3.0,0.0,Inf,2,interval,surrogate,Battery power margin
15,battery,battery_power_limit,geq,kW,3.0,0.0,Inf,3,interval,surrogate,Battery power margin
16,battery_converter,battery_converter_loss_relation,eq,kW,1.0,0.0,0.0,1,interval,surrogate,Battery converter loss relation
17,battery_converter,battery_converter_loss_relation,eq,kW,1.0,0.0,0.0,2,interval,surrogate,Battery converter loss relation
18,battery_converter,battery_converter_loss_relation,eq,kW,1.0,0.0,0.0,3,interval,surrogate,Battery converter loss relation
19,battery_converter,battery_converter_rating_limit,geq,kW,3.0,0.0,Inf,1,interval,surrogate,Battery converter rating margin
20,battery_converter,battery_converter_rating_limit,geq,kW,3.0,0.0,Inf,2,interval,surrogate,Battery converter rating margin
21,battery_converter,battery_converter_rating_limit,geq,kW,3.0,0.0,Inf,3,interval,surrogate,Battery converter rating margin
22,load,load_served_bounds,interval,fraction,1.0,1.0,1.0,1,interval,prescribed,Load served fraction bounds
