Time_h,Load_W_shape,Solar_W_shape,Wind_W_shape,Wave_W_shape,Hydrogen_g_per_h_shape,PotableWater_L_per_h_shape
0,357.69255466320004,0.0,42.2395626843,0.00,0.0,0.0
1,347.51817316169996,0.0,41.86231005645,138.31,0.0,0.0
2,336.88852069859996,0.0,39.83939245341,125.86,0.0,0.0
3,334.2058000479001,0.0,39.297379023089995,158.07,0.0,0.0
4,335.28370230630003,0.0,38.36723473836,160.68,0.0,0.0
5,336.02435916480005,0.0,36.44875604610001,153.83,0.0,0.0
6,345.5519156325,0.93641798477691,35.01558193698,128.48,0.0,0.0
7,345.0240304884,37.355443508079,35.08061462217,163.97,0.0,0.0
8,342.85942674269995,105.50643111018003,32.49286381476,0.00,0.0,0.0
9,332.65867073400005,129.47389742304003,36.348617930130004,178.15,0.0,0.0
10,321.1547285196,122.31384574437004,45.27992526741001,0.00,0.0,0.0
11,316.76082943050005,112.60452716622001,47.207638684710005,167.70,0.0,0.0
12,316.4838891489,107.39885987097001,51.774849154170006,0.00,0.0,0.0
13,316.935330597,121.57406365724998,52.82610022476,130.67,0.0,0.0
14,317.6397392616,120.15290061882001,59.50262119311001,228.09,0.0,0.0
15,320.19272389890006,108.10634914467,60.96791104569001,170.30,0.0,0.0
16,333.85295441610003,96.01153011180001,66.07976352525,236.23,0.0,0.0
17,359.07381663120003,83.24155853577001,71.19058103478,214.62,0.0,0.0
18,391.09674671100004,27.434925129266993,58.15147067622001,209.12,0.0,0.0
19,428.14302810030017,0.7498068733366202,52.49012273892001,244.52,0.0,0.0
20,430.21300547699997,0.019548128724660004,54.17065378251,230.44,0.0,0.0
21,414.1769894298002,0.008062142813640002,61.019473713390006,219.29,0.0,0.0
22,391.68090476550003,0.00151011481797,64.59622204104,270.45,0.0,0.0
23,367.4455929837,0.0,60.37752201111,314.07,0.0,0.0
24,354.30975638010005,0.00019100488329000002,64.37175870464999,323.62,1000.0,1000.0
25,345.2121301419,0.0,66.64788170847001,277.32,0.0,0.0
26,339.39000679050014,0.00014661190575,64.22223267828001,241.19,0.0,0.0
27,339.75859630589997,6.928786305e-05,49.435016941170005,0.00,0.0,0.0
28,350.01418886100004,0.00070179874623,38.437084859580004,269.51,0.0,0.0
29,369.9364008996,0.0,33.8916262869,341.16,0.0,0.0
30,393.0295521672001,1.30483233290502,31.11465297429,241.54,0.0,0.0
31,407.11673409570017,47.262822034833,26.217636128640002,310.29,0.0,0.0
32,404.7263522586,136.37697967449,26.887503718260003,281.79,0.0,0.0
33,388.1227604346001,173.1646797678,24.08216354163,273.77,0.0,0.0
34,370.6540305849,186.27174944145,15.145926857388005,333.96,0.0,0.0
35,358.17726957210004,182.18993133888,14.799828222342004,297.51,0.0,0.0
36,352.0736839476,169.75660323933002,19.624090721427002,349.34,0.0,0.0
37,351.8749751211,160.90841514564,27.49472341227001,322.91,0.0,0.0
38,353.42953145280006,165.6556387137,32.29014597057,288.10,0.0,0.0
39,356.2397044236,149.51771946297,42.79615079823,392.03,0.0,0.0
40,366.39624401369997,127.25499645747001,53.15838697728001,335.99,0.0,0.0
41,390.54268553130004,117.46246575096004,57.27559575924001,248.10,0.0,0.0
42,420.1742338884,39.977840797065,53.51971030695001,315.97,0.0,0.0
43,449.0169687594,3.1189552463781003,54.458441459640014,328.72,0.0,0.0
44,449.96748434999995,0.0,56.25877517829,299.06,0.0,0.0
45,432.2855105055001,0.0,45.990141297930016,346.24,0.0,0.0
46,405.8778641634,0.0,40.26892951575,315.97,0.0,0.0
